CPT Code,Description
77067,The provider takes two X–ray views of each breast for routine screening and may use specially designed computer software to help identify any potential abnormalities within the images; the software converts signals into digital data and analyzes the images.
77063,The provider captures three dimensional images of the breast using X–rays at various angles for routine checkup. He checks for the presence of any abnormality within the breasts. Tomosynthesis provides more accurate imaging than the conventional mammography.
71046,"In this diagnostic procedure, the provider performs a minimum of two radiological views of the chest. He performs this study for the assessment of conditions affecting the chest, its contents, and nearby structures."
71045,"In this diagnostic procedure, the provider performs a single radiological view of the chest. He performs this study for the assessment of conditions affecting the chest, its contents, and nearby structures."
77080,"The provider performs an imaging procedure, called dual–energy X–ray absorptiometry (DXA), of one or more bony areas on the trunk to determine the bone mineral density (BMD) and whether the patient has osteopenia or osteoporosis."
72148,"In this diagnostic procedure, the provider performs magnetic resonance imaging (MRI) of the lumbar spinal canal and contents without using contrast."
73721,"In this diagnostic procedure, the provider performs magnetic resonance imaging of a lower extremity joint without using contrast material."
76700,"An abdominal ultrasound is a noninvasive procedure used to assess the body parts within the abdomen (i.e. liver, gallbladder, pancreas, bile ducts, spleen, and abdominal aorta). This particular code is used when the ultrasound is complete and requires real–time image documentation."
74177,The provider performs computed tomography of the abdomen and pelvis with contrast material to diagnose the cause of abdominal or pelvic pain or other abnormalities of the internal organs.
73030,This particular procedure is for a minimum of 2 X–ray views of the complete shoulder.
76641,"In this procedure, the provider performs a complete ultrasound of one breast. The procedure includes documentation of the images."
72100,"The technician takes 2 or 3 views of the vertebrae in the lumbar region which is the lower part of the spine and the sacrum, the area that connects the spine to the pelvis. Lumbosacral spine X–rays help evaluate back injuries, persistent numbness, and low back pain."
73630,"In this diagnostic procedure, the provider takes a minimum of three views of the foot to assess injury, fracture, arthritis, tumor, or congenital abnormality."
70450,"The provider performed computed tomography, or CT scanning, of the head or brain, without contrast. He performs the procedure to diagnose any brain or intracranial abnormalities."
76830,"The provider performs a transvaginal ultrasound to assess the reproductive organs, that is, the uterus, fallopian tubes, ovaries, cervix, and vagina in a female patient."
74018,Report this code for one X–ray view of the structures and organs in the abdomen to diagnose certain abdominal problems.
76536,The provider performs real–time ultrasound examination of the soft tissues of the head and neck and records and saves the images for later review.
76856,"A pelvic ultrasound is a noninvasive procedure used to assess body parts such as the bladder, ovaries, uterus, cervix, and fallopian tubes in females and the bladder, prostate gland, and seminal vesicles in males. Images are displayed on a monitor and also recorded for a permanent record."
73502,"In this diagnostic procedure, the provider takes X–ray images of one hip, either left or right, from two or three projections (directions or angles) to check for any fracture, swelling, or other reason for pain in the hip area, including the pelvis when performed."
73562,"In this procedure, the provider takes three X–ray images of a patient’s knee joint to check for any fracture, swelling, or reason for pain in the knee area."
10000,No Summary found for this code
10060,"The provider incises the area of abscess and drains the collection of pus from a lesion, such as a carbuncle, hidradenitis, cyst, furuncle, or paronychia, with the help of surgical instruments. A simple incision and drainage usually involves a single incision of an abscess situated just below the skin's surface."
10061,"The provider incises the area of abscess and drains the collection of pus, such as those related to a carbuncle, hidradenitis, cyst, furuncle, or paronychia, with the help of surgical instruments. A complicated incision and drainage can involve multiple incisions, drain placements, extensive packing, and a more complicated wound closure."
10120,"The provider removes a foreign body such as a thorn, piece of wood, sliver of glass or fishook, from the lower layer of skin."
10120,"The provider removes a foreign body such as a thorn, piece of wood, sliver of glass or fishook, from the lower layer of skin."
10121,"The provider removes a foreign body such as a thorn, piece of wood, sliver of glass or fishook, from the lower layer of skin; the incision and removal may be complicated by the need for extensive dissection, imaging guidance, or layered closure."
10140,"The provider makes an incision into the hematoma, seroma, or other collection of fluid and bluntly penetrates it to allow fluid evacuation."
97116,"The provider instructs the patient in the proper ways of practicing various exercises, including climbing stairs, focusing on one or more areas, that assist them in walking comfortably and without strain for a period of 15 minutes."
90648,"In this procedure, the provider administers a form of the vaccine that protects against Haemophilus influenza B, bacteria that causes meningitis, a serious disease that attacks the meninges, the covering of the brain and spinal cord. He injects the vaccine into a muscle as part of a four–dose schedule."
93041,The provider records the electrical conduction of the heart to examine any abnormality in its functioning using a maximum of three leads. This code represents the technical component of the service only.
99392,"Preventive medicine services are provided to individuals who are not in need of any immediate medical attention, but need to undergo a periodic health checkup as a preventive measure. Well–baby visits, well–woman visits, and routine annual physical check–ups come under the purview of preventive medicine reevaluation and management services. These visits are different from other visits where the patient has a problem for which medical attention is sought. The age, gender, and associated risk factors of the person are important considerations while providing a preventive medicine service. The physician performs a comprehensive review of systems, comprehensive past family and social history (PFSH), and makes a thorough assessment of age and gender–related risk factors. The physician may order and obtain diagnostic/laboratory procedures and administer immunizations during the preventive service."
11305,"The provider shaves off a single epidermal or dermal lesion of 0.5 cm or less in diameter from the scalp, neck, hands, feet, or genitals."
15788,"A chemical peel, also called chemexfoliation, is the application of chemical agents (e.g. alpha–hydroxy acid, retinoic acid, or phenol) in a controlled manner to remove a superficial scar, sun damage, or acne. It involves the epidermis partially or completely. It may or may not involve the dermis depending on the duration and requirements of the procedure."
97162,"The provider, typically a physical therapist, conducts a physical therapy evaluation that includes history to rule out any adverse factors that will affect care; observes whether the patient's current status is evolving or changing in characteristics; and assess three or more elements relating to body structure and function, and limitations, such as joint flexibility, muscle strength, gait, mobility, and neuromuscular function. She uses standardized tests and measures and employs clinical decision–making of moderate complexity, typically involving 30 minutes of face–to–face time with the patient or family or both."
97802,The provider treats medical conditions and related symptoms using specific diet therapy by interacting individually with the patient. This code represents each 15 minutes of the first visit with the patient.
99498,The provider or other healthcare professional performs advanced care planning beyond an initial 30 minutes. The provider discusses and shares planning for the future health care needs of the patient including advance directives. Use this code for each additional 30 minutes of face to face time that the provider spends.
91320,This code represents a SARS–CoV–2 vaccine product (tris–sucrose formulation) administered by intramuscular injection to reduce the patient’s risk of contracting COVID–19. The dosage is 30 mcg/0.3 mL.
90647,"In this procedure, the provider administers a form of the vaccine that protects against Haemophilus influenza B, bacteria that causes meningitis, a serious disease that attacks the meninges, the covering of the brain and spinal cord. He injects the vaccine into a muscle as part of a three–dose schedule."
94060,"The spirometry test is performed with a spirometer. The instrument displays a graphical representation, known as a spirogram, of the test results. The basic forced volume vital capacity (FVC) test is done by asking the patient to inhale and exhale air through the sensors of the device. The speed and volume of the air is measured and the result is displayed on a graph. A bronchodilator drug is also given to the patient and the spirometry test is performed before and after the drug administration to find out the difference between results obtained in two different phases. The difference in results helps to deduce the responsiveness of the respiratory system to the bronchodilator."
97035,"Physical therapists use different treatment modalities that can help strengthen, relax, and heal muscles from their strained conditions."
74022,"The provider takes two or more views of the entire abdomen including stomach, liver, spleen, large and small intestines, and diaphragm and a single view of the chest for assessment of suspected acute abdomen, a condition that demands immediate diagnosis and treatment."
